,GAM1,u1,v1,GAM2,u2,v2
4096,0.953718634,0.002875927,0.005034644,1,0,0
3712,0.953663955,0.00218287,0.005520043,1,0,0
3200,0.945277372,0.00187375,0.005568338,1,0,0
2688,0.936008458,0.002375769,0.005412835,1,0,0
2176,0.929518411,0.001877672,0.005541379,1,0,0
1664,0.92417218,0.002312317,0.005479762,1,0,0
1280,0.91548154,0.002257684,0.005127177,1,0,0
960,0.900884739,0.002253004,0.005686946,1,0,0
768,0.889640709,0.001509155,0.005348133,1,0,0
576,0.876234333,0.002154522,0.005774968,1,0,0
384,0.862892175,0.002789117,0.004760179,1,0,0
